"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"1",1,"4.3,3.9,2",4.3,3.9,2,0.8343,12.0631,4.6371,4.6101,2.0736,12.9846,4.0786,4.0498,1.5864,7.1733,2.0145,1.9989,0.7352,0.7298,0,1.12431974476876
"2",2,"5.3,5.1,2",5.3,5.1,2,0.9998,14.8685,5.7154,5.6822,2.5558,16.825,5.2678,5.2306,2.0473,7.6308,2.1926,2.1758,0.8088,0.803,1,1.3884664246431
"3",3,"4.3,3.7,2",4.3,3.7,2,0.8072,12.0631,4.6371,4.6101,2.0736,12.4244,3.9143,3.8867,1.5237,7.111,1.9911,1.9756,0.7262,0.7209,0,1.12164750131965
"4",4,"4.5,3.3,2",4.5,3.3,2,0.8487,12.6242,4.8527,4.8245,2.1701,11.3998,3.6264,3.6009,1.4152,7.0033,1.9516,1.9365,0.712,0.7068,0,1.16592565825737
"5",5,"5.3,2,0",5.3,2,0,0.9602,14.8685,5.7154,5.6822,2.5558,8.1418,2.7213,2.7024,1.0752,1.0677,0.4324,0.4296,0.1934,0.1923,0,1.34172249614339
"6",6,"4.6,3.2,2",4.6,3.2,2,0.8736,12.9047,4.9606,4.9317,2.2183,11.1676,3.5646,3.5396,1.3923,6.9806,1.9436,1.9285,0.7094,0.7042,0,1.18940085845078
"7",7,"5.4,4.5,2",5.4,4.5,2,0.9993,15.149,5.8233,5.7894,2.6041,15.1923,4.7953,4.7615,1.8676,7.4525,2.126,2.1096,0.7837,0.7781,1,1.40526101621374
"8",8,"4.2,2,0",4.2,2,0,0.6976,11.7826,4.5292,4.5029,2.0254,7.6147,2.4975,2.48,0.9822,0.9753,0.3914,0.3888,0.172,0.171,0,1.06879795504575
"9",9,"3.7,2,0",3.7,2,0,0.4211,10.3799,3.99,3.9668,1.7843,7.3751,2.3957,2.379,0.9399,0.9333,0.3727,0.3702,0.1623,0.1614,0,0.944741345455909
"10",10,"4.2,2,0",4.2,2,0,0.6976,11.7826,4.5292,4.5029,2.0254,7.6147,2.4975,2.48,0.9822,0.9753,0.3914,0.3888,0.172,0.171,0,1.06879795504575
