"","X.1","X","Doses","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","B.b1d1.b2d2","B=b1d1+b2d2"
"1",1,1,"3.0,4,0,0",0.054,8.416,3.235,3.216,1.447,12.642,3.896,3.869,1.508,1.497,0.581,0.577,0.239,0.238,64.5641406384629,0.802038374183558
"2",2,2,"3.0,4,4,0",0.054,8.416,3.235,3.216,1.447,12.642,3.896,3.869,1.508,12.693,3.374,3.347,1.19,1.181,64.5641406384629,0.802038374183558
"3",3,3,"3.2,0,0,0",0.128,8.977,3.451,3.431,1.543,1.533,0.651,0.647,0.27,0.269,0.119,0.119,0.062,0.062,67.1370945127833,0.834000507413809
"4",4,4,"3.2,3,0,0",0.128,8.977,3.451,3.431,1.543,9.937,3.115,3.093,1.211,1.203,0.471,0.468,0.198,0.197,68.3544304123297,0.849122681276143
"5",5,5,"3.2,3,3,0",0.128,8.977,3.451,3.431,1.543,9.937,3.115,3.093,1.211,9.6,2.566,2.546,0.911,0.904,68.3544304123297,0.849122681276143
"6",6,6,"3.4,0,0,0",0.234,9.538,3.667,3.645,1.64,1.629,0.692,0.687,0.287,0.286,0.127,0.126,0.066,0.066,71.3331629198323,0.886125539127173
"7",7,7,"3.4,3,0,0",0.236,9.538,3.667,3.645,1.64,10.032,3.156,3.134,1.228,1.219,0.479,0.476,0.202,0.2,72.5504988193787,0.901247712989506
"8",8,8,"3.4,3,3,0",0.236,9.538,3.667,3.645,1.64,10.032,3.156,3.134,1.228,9.617,2.574,2.553,0.915,0.908,72.5504988193787,0.901247712989506
"9",9,9,"3.6,0,0,0",0.358,10.099,3.882,3.86,1.736,1.725,0.732,0.728,0.304,0.302,0.134,0.134,0.07,0.07,75.5292313268812,0.938250570840536
"10",10,10,"3.6,3,0,0",0.361,10.099,3.882,3.86,1.736,10.128,3.197,3.174,1.245,1.236,0.486,0.483,0.205,0.204,76.7465672264276,0.953372744702869
"11",11,11,"3.6,3,3,0",0.361,10.099,3.882,3.86,1.736,10.128,3.197,3.174,1.245,9.633,2.581,2.561,0.919,0.912,76.7465672264276,0.953372744702869
"12",12,12,"3.7,0,0,0",0.421,10.38,3.99,3.967,1.784,1.773,0.753,0.748,0.313,0.311,0.138,0.137,0.072,0.072,77.6272655304057,0.964313086697217
"13",13,13,"3.7,3,0,0",0.425,10.38,3.99,3.967,1.784,10.176,3.217,3.195,1.253,1.245,0.49,0.487,0.207,0.206,78.8446014299521,0.979435260559551
"14",14,14,"3.7,3,3,0",0.425,10.38,3.99,3.967,1.784,10.176,3.217,3.195,1.253,9.642,2.585,2.564,0.921,0.914,78.8446014299521,0.979435260559551
"15",15,15,"3.8,0,0,0",0.482,10.66,4.098,4.074,1.832,1.821,0.773,0.768,0.321,0.319,0.142,0.141,0.074,0.074,79.7252997339302,0.990375602553899
"16",16,16,"3.8,3,0,0",0.488,10.66,4.098,4.074,1.832,10.224,3.238,3.215,1.262,1.253,0.494,0.49,0.209,0.208,80.9426356334766,1.00549777641623
"17",17,17,"3.8,3,3,0",0.488,10.66,4.098,4.074,1.832,10.224,3.238,3.215,1.262,9.65,2.589,2.568,0.923,0.916,80.9426356334766,1.00549777641623
"18",18,18,"3.8,3,0,3",0.488,10.66,4.098,4.074,1.832,10.224,3.238,3.215,1.262,1.253,0.494,0.49,0.209,8.601,80.9426356334766,1.00549777641623
"19",19,19,"4.0,0,0,0",0.597,11.222,4.314,4.288,1.929,1.917,0.814,0.808,0.338,0.336,0.149,0.148,0.078,0.077,83.9213681409791,1.04250063426726
"20",20,20,"4.0,3,0,0",0.607,11.222,4.314,4.288,1.929,10.32,3.278,3.255,1.279,1.27,0.501,0.498,0.213,0.212,85.1387040405255,1.0576228081296
"21",21,21,"4.0,3,3,0",0.607,11.222,4.314,4.288,1.929,10.32,3.278,3.255,1.279,9.667,2.596,2.576,0.926,0.919,85.1387040405255,1.0576228081296
"22",22,22,"4.2,0,0,0",0.696,11.783,4.529,4.503,2.025,2.013,0.855,0.849,0.355,0.353,0.157,0.156,0.082,0.081,88.1174365480281,1.09462566598063
